TradeID,RiskType,Qualifier,Label2,AmountUSD,Bucket,PortfolioID
0,Risk_Equity,Wilmar International,REPO,-10332.09,1,Smaller_Portfolio
1,Risk_Equity,Wilmar International,SPOT,-3641606.45,1,Smaller_Portfolio
2,Risk_Equity,China Minmetals,REPO,-2337.9,3,Smaller_Portfolio
3,Risk_Equity,China Minmetals,SPOT,-10549.54,3,Smaller_Portfolio
4,Risk_Equity,China Life Insurance,REPO,-7874.94,4,Smaller_Portfolio
5,Risk_Equity,China Life Insurance,SPOT,-1384797.01,4,Smaller_Portfolio
6,Risk_Equity,It Unibanco Holding,REPO,-9525.18,4,Smaller_Portfolio
7,Risk_Equity,It Unibanco Holding,SPOT,372113.83,4,Smaller_Portfolio
8,Risk_Equity,Abbott Laboratories,REPO,2490.18,5,Smaller_Portfolio
9,Risk_Equity,Abbott Laboratories,SPOT,220534.64,5,Smaller_Portfolio
10,Risk_Equity,Apple,REPO,-271.94,5,Smaller_Portfolio
11,Risk_Equity,Apple,SPOT,723448.22,5,Smaller_Portfolio
12,Risk_Equity,Cardinal Health,REPO,9708.77,5,Smaller_Portfolio
13,Risk_Equity,Cardinal Health,SPOT,581999.22,5,Smaller_Portfolio
14,Risk_Equity,Dell,REPO,-5736.76,5,Smaller_Portfolio
15,Risk_Equity,Dell,SPOT,599300.06,5,Smaller_Portfolio
16,Risk_Equity,Hoffmann-La Roche,REPO,5087.52,5,Smaller_Portfolio
17,Risk_Equity,Hoffmann-La Roche,SPOT,74412.64,5,Smaller_Portfolio
18,Risk_Equity,Merck & Co.,REPO,7914.94,5,Smaller_Portfolio
19,Risk_Equity,Merck & Co.,SPOT,-271193.07,5,Smaller_Portfolio
20,Risk_Equity,Nestle,REPO,-4133.81,5,Smaller_Portfolio
21,Risk_Equity,Nestle,SPOT,401259.88,5,Smaller_Portfolio
22,Risk_Equity,Procter & Gamble,REPO,2600.33,5,Smaller_Portfolio
23,Risk_Equity,Procter & Gamble,SPOT,48389.93,5,Smaller_Portfolio
24,Risk_Equity,Sony,REPO,-4977.1,5,Smaller_Portfolio
25,Risk_Equity,Sony,SPOT,-947113.58,5,Smaller_Portfolio
26,Risk_Equity,BMW,REPO,-9016.68,7,Smaller_Portfolio
27,Risk_Equity,BMW,SPOT,1466106.3269999996,7,Smaller_Portfolio
28,Risk_Equity,Daimler,REPO,-5245.64,7,Smaller_Portfolio
29,Risk_Equity,Daimler,SPOT,334588.18,7,Smaller_Portfolio
30,Risk_Equity,Exor,REPO,4643.219,7,Smaller_Portfolio
31,Risk_Equity,Exor,SPOT,-1502080.9130000004,7,Smaller_Portfolio
